time,id,location,accuracy,scale,algo,association_status,cl_radio,ap_cardinality
2017-09-01 19:28:30,138,2010400578,99.4523,5,4,f,5GHz,1
2017-09-01 19:28:30,139,2010600187,99.6914,5,4,t,5GHz,1
2017-09-01 19:28:30,140,2010600940,99.7226,5,4,f,5GHz,1
2017-09-01 19:28:30,141,2010400464,99.4456,5,4,f,2.4GHz,2
2017-09-01 19:28:30,142,2010400130,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,143,2010600547,99.7915,5,4,f,5GHz,1
2017-09-01 19:28:30,144,2010400235,99.8143,5,4,t,2.4GHz,1
2017-09-01 19:28:30,145,2010400457,99.3016,5,4,t,5GHz,1
2017-09-01 19:28:30,146,2010400610,99.5,5,4,f,2.4GHz,1
2017-09-01 19:28:30,147,2010100015,99.233,5,4,f,5GHz,1
2017-09-01 19:28:30,148,2010400281,99.5528,5,4,f,5GHz,1
2017-09-01 19:28:30,149,2010600914,99.3453,5,4,t,5GHz,2
2017-09-01 19:28:30,150,2010400454,97.858,5,4,t,5GHz,1
2017-09-01 19:28:30,151,2010300229,99.4359,5,4,f,2.4GHz,1
2017-09-01 19:28:30,152,2010600977,97.4263,5,4,f,5GHz,3
2017-09-01 19:28:30,153,2010600629,99.1439,5,4,f,5GHz,2
2017-09-01 19:28:30,154,2010400415,99.4331,5,4,t,5GHz,1
2017-09-01 19:28:30,155,2010400103,99.6838,5,4,f,5GHz,1
2017-09-01 19:28:30,156,2010600624,99.1435,5,4,f,5GHz,3
2017-09-01 19:28:30,157,2010600132,99.7374,5,4,f,2.4GHz,1
2017-09-01 19:28:30,158,2010600901,99.7706,5,4,t,5GHz,1
2017-09-01 19:28:30,159,2010400295,97.9965,5,4,f,5GHz,2
2017-09-01 19:28:30,160,2010300333,99.6985,5,4,f,5GHz,1
2017-09-01 19:28:30,161,2010400480,99.6838,5,4,f,5GHz,1
2017-09-01 19:28:30,162,2010400200,97.7639,5,4,t,5GHz,1
2017-09-01 19:28:30,163,2010400450,99.5451,5,4,f,2.4GHz,1
2017-09-01 19:28:30,164,2010400101,99.6838,5,4,f,5GHz,1
2017-09-01 19:28:30,165,2010300566,99.1835,5,4,t,5GHz,1
2017-09-01 19:28:30,166,2010400086,99.7643,5,4,t,5GHz,1
2017-09-01 19:28:30,167,2010400570,98.2299,5,4,t,2.4GHz,1
2017-09-01 19:28:30,168,2010600873,99.5636,5,4,t,2.4GHz,1
2017-09-01 19:28:30,169,2010400211,99.7735,5,4,f,5GHz,1
2017-09-01 19:28:30,170,2010300306,99.6938,5,4,f,2.4GHz,1
2017-09-01 19:28:30,171,2010600545,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,172,2010400043,99.6127,5,4,t,5GHz,1
2017-09-01 19:28:30,173,2010400343,98.9042,5,4,f,5GHz,3
2017-09-01 19:28:30,174,2010400273,98.0301,5,4,f,5GHz,3
2017-09-01 19:28:30,175,2010300078,99.6151,5,4,t,2.4GHz,1
2017-09-01 19:28:30,176,2010600901,99.7706,5,4,t,5GHz,1
2017-09-01 19:28:30,177,2010300160,99.4483,5,4,f,2.4GHz,1
2017-09-01 19:28:30,178,2010400145,99.6838,5,4,f,5GHz,1
2017-09-01 19:28:30,179,2010300716,99.6784,5,4,f,2.4GHz,1
2017-09-01 19:28:30,180,2010300424,99.1997,5,4,f,2.4GHz,2
2017-09-01 19:28:30,181,2010300145,99.8438,5,4,f,2.4GHz,1
2017-09-01 19:28:30,182,2010400473,99.6914,5,4,f,2.4GHz,1
2017-09-01 19:28:30,183,2010400393,99.8204,5,4,f,2.4GHz,1
2017-09-01 19:28:30,184,2010600666,99.2812,5,4,f,5GHz,2
2017-09-01 19:28:30,185,2010400070,99.7113,5,4,f,5GHz,1
2017-09-01 19:28:30,186,2010300725,97.8874,5,4,f,2.4GHz,3
2017-09-01 19:28:30,187,2010300562,99,5,4,t,5GHz,1
2017-09-01 19:28:30,188,2010300318,99.5528,5,4,f,2.4GHz,1
2017-09-01 19:28:30,189,2010600202,99.7915,5,4,f,2.4GHz,1
2017-09-01 19:28:30,190,2010400498,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,191,2010400366,99.4227,5,4,t,5GHz,1
2017-09-01 19:28:30,192,2010300721,99.4102,5,4,f,2.4GHz,1
