"time","id","location","accuracy","scale","algo","association_status","cl_radio","ap_cardinality"
"2017-09-01 19:28:31","e5d71b2558fbd0f48a0c6ef5dafa1433a5ef3e0e","2010600917","99.7868","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","085d480008f997869bcef556ac4374f0a3ff058f","2010600170","99.7915","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","8577daa2dd129ea3ecbaa357742450bbac1b66a6","2010600129","99.8039","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","f055c2f5f254cf7a3c91c0941974c5524556b317","2010600213","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","73c8adffe862de465c5171012584be218ec62eb5","2010400091","98.5858","5","4","t","5GHz","1"
"2017-09-01 19:28:31","a912025c156280c03fded4974f60c1f605fdef90","2010600947","99.8259","5","4","f","5GHz","1"
"2017-09-01 19:28:31","47f924f7c277d3ed159cee144e739587b4b31464","2010300761","99.2724","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","9d4d7619e6fcd99fe60b83544be39f2cbfa7adef","2010600497","99.8232","5","4","f","5GHz","1"
"2017-09-01 19:28:31","a937134b14cb6332322197d518b1e28277bd61f8","2010400486","99.8333","5","4","t","5GHz","1"
"2017-09-01 19:28:31","fbbe4f3415cbf65da2246ade6075059655b5d636","2010600940","99.7226","5","4","t","5GHz","1"
"2017-09-01 19:28:31","dc3a0afd8495579daf42924536874dab43cf8dc7","2010600142","99.7868","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","987992969ec3a457327255f1b986b79833192759","2010400138","97.7709","5","4","f","5GHz","2"
"2017-09-01 19:28:31","2fc8ab5915903e16641a73254fdb3dcbd2c100ad","2010300156","99.4756","5","4","t","5GHz","1"
"2017-09-01 19:28:31","302d41cc5af5d065fbfb951e6ae62156247daeba","2010300499","99.8259","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","bed5c7685043f3dca7fdd0f82b7d4928c80d28ab","2010400521","99.7418","5","4","f","5GHz","1"
"2017-09-01 19:28:31","3c7ed2f8b74510a8c6198d9f847cb820e95f955f","2010600171","99.7418","5","4","t","5GHz","1"
"2017-09-01 19:28:31","c9616b7e298ceba7583872efc925a623da5ef375","2010400501","98.5393","5","4","f","2.4GHz","3"
"2017-09-01 19:28:31","c2e66eaa19e09451f581192a3479566ffa0bf7c7","2010400471","98.9037","5","4","f","5GHz","2"
"2017-09-01 19:28:31","ef76d177ca988f5c09e13ed8ce43310d21b3989a","2010300208","96.9555","5","4","t","5GHz","1"
"2017-09-01 19:28:31","74f0c9357106feb5204aa12ed47a36305643b570","2010600548","99.8174","5","4","t","5GHz","1"
"2017-09-01 19:28:31","d89a8205b1623b2a6c5c3b493702d3fd38a44004","2010600976","99.2779","5","4","f","5GHz","2"
"2017-09-01 19:28:31","eba690cde539a8c63eba21599e5c67353513d8ca","2010300511","99.4836","5","4","f","5GHz","1"
"2017-09-01 19:28:31","eb684f0e13d5de36c8ca8a6a0d025e84626d92d2","2010400264","99.7374","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","fa6b78c5bcbc0d457877c7c11fc4cca6841e8a09","2010400071","98.9317","5","4","f","5GHz","2"
"2017-09-01 19:28:31","0eadc064345f20b1b8b0d1c5b70b1fa0ae4e60aa","2010300392","99.0282","5","4","f","5GHz","1"
"2017-09-01 19:28:31","c52842336581d708135fbbad66277a50f530bb2c","2010600325","99.5615","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","2c4e64ea2f25446b5a8ca8c941ee1bbbc53c73ec","2010400598","98.709","5","4","t","5GHz","1"
"2017-09-01 19:28:31","ef5a25fe7beb296f5d7e11f9a62742ff24fb22b6","2010300755","99.7278","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","3f19abeba085d5a7912aa69666e932c259811230","2010600862","99.8","5","4","f","2.4GHz","1"
